Protein,beta,se,pval,QEp,RR,RR_LCI,RR_UCI
CD40,0.304847629303923,0.04884406315517227,4.3410938861690876e-10,0.03831916069693973,1.356418308857666,1.2325867682519913,1.4926905561492654
CD40-L,0.04957432640458383,0.045168344377273566,0.2724028736134321,0.12972717310428022,1.050823693259275,0.9617949489497477,1.1480934013230684
OPG,0.312237686585747,0.04793523972039864,7.330235236545454e-11,0.2363985870072727,1.3664794482675213,1.243943211236393,1.5010862760218586
