Protein,beta,se,pval,QEp,RR,RR_LCI,RR_UCI
CD40,0.304847629303923,0.04884406315517227,4.3410938861690876e-10,0.03831916069694017,1.356418308857666,1.2325867682519913,1.4926905561492654
OPG,0.312237686585747,0.04793523972039864,7.330235236545454e-11,0.23639858700727454,1.3664794482675213,1.243943211236393,1.5010862760218586
